,,МОЩНОСТЬ,КРУТ.МОМ.,СКОРОСТЬ,РАЗГОН,УПРАВЛ,ПРОХОД,МЕТКИ,Цена,НАЛИЧИЕ В САЛОНЕ
Lamborghini	Jarama 400 GT,,350,392,260,"5,7",90,30,класс  D            купе               Италия                      70                               3                                       комфорт,36 000 /,3
Г,,"0,8","0,9","1,2",1,"0,8","0,8",,,
Porsche	           917 LH,,520,501,340,"3,9",90,17,класс  E            купе               Германия                      70                              5                        автоспорт                               widow maker,49 000 /,1
С,,"0,9",1,"0,8","0,7","1,2","0,6",,,
,БЕТА,,,,,,,,,
Renault              	8 S,,70,68,140,"16,5",60,40,класс  A            седан         Франция                       70                             1,6600 /,5
У,,"0,7","0,7","0,8","2,4","0,7",1,,,
Ford 	         Capri RS2600,,150,224,202,"7,3",55,48,класс  B           хэтчбек              США                      70                               2                       hot hatch,12 700 /,4
Г,,"0,7",1,"0,6","1,1","0,8","0,8",,,
Ford 	    Mustang Boss 302,,290,477,196,"7,5",40,44,класс  C           купе              США                      70                               3                              muscle car,18 000 /,3
Г,,"0,8","0,8","1,2","1,3",1,"0,8",,,
Citroen	         SM,,170,230,220,"8,4",64,50,класс B             хэтчбек               Франция                      70                               2                         комфорт,20 500 /,4
У,,"0,8","0,9","0,7","1,3","0,7",1,,,
Chevrolet  	Blazer K5,,158,370,149,"11,9",24,164,класс C             внедорожник               США                      70                               2,23 300 /,4
В,,"0,9",1,"0,5","1,4","0,8","1,2",,,
Lamborghini	Espada 400 GTE,,350,394,261,"6,1",88,35,класс  D            хэтчбек               Италия                      70                               3,34 800 /,3
Г,,"0,8","0,9","1,2","1,2","0,8","0,8",,,
Porsche                  908 Spyder,,350,377,275,"4,8",99,14,класс   D           купе               Германия                      70                              4                        автоспорт,43 000 /,2
С,,"0,8",1,"1,2",1,1,"0,6",,,
Ferrari	               512 S,,550,490,350,"3,5",95,12,класс  E            купе              Италия                     70                              5                        автоспорт,50 000 /,1
С,,1,1,"0,8","0,5",1,"0,6",,,
,ГАММА,,,,,,,,,
Renault	          Rodeo 4,,38,58,102,30,32,85,класс   A           внедорожник               Франция                     70                               1,7000 /,5
В,,"0,8","0,7","0,7","2,4","0,7","1,2",,,
BMW	           2002,,98,157,171,"10,6",69,40,класс A             седан               Германия                     70                               1,10 400 /,5
У,,"0,8","0,7","0,5","1,7","0,7","0,8",,,
Chevrolet	 Corvette,,223,353,202,"7,8",56,38,класс B            купе              США                      70                               2,18 800 /,4
Г,,"0,9","0,9","1,3","1,5","0,8","0,8",,,
BMW	               E9,,180,252,208,"7,6",65,50,класс  B            купе               Германия                      70                               2,20 200 /,4
У,,"0,8","0,7","0,9","1,3","0,7","0,8",,,
Chevrolet	   Camaro SS 396,,350,565,220,7,48,43,класс  C           купе              США                      70                               3                              muscle car,24 000 /,3
Г,,"0,6","0,6",1,"1,2","0,8",1,,,
Ford                 Torino GT 429,,347,590,216,7,40,54,класс  C            купе               США                      70                               3                             muscle car,29 400 /,3
Г,,1,"1,1","1,1","1,3","0,8",1,,,
Chevrolet	       Camaro ZL-1 COPO ''Garnet Red'',,450,640,222,"5,4",40,35,класс   C           купе               США                      70                               5                             muscle car                        widow maker,44 000 /,1
Г,,"0,8",1,"1,2","1,2","0,8","0,8",,,
,ДЕЛЬТА,,,,,,,,,
Renault	           12 Gordini,,113,140,185,"9,5",69,45,класс B             хэтчбек               Франция                       70                             1,8000 /,5
Г,,"0,7",1,"0,8","1,5","0,8","0,8",,,
Porsche	                 914,,80,131,177,13,77,33,класс  A            купе               Германия                     70                               1,10 000 /,5
У,,"0,6","0,7","0,5","2,1","0,8","0,8",,,
Porsche                  911 2.2,,155,191,220,8,90,31,класс B             купе               Германия                      70                               2,19 900 /,4
Г,,"0,8","1,1","1,1","1,5","0,7","0,8",,,
Chevrolet  	Chevelle,,325,540,211,"7,5",39,42,класс  C           купе              США                      70                               2                              muscle car,20 000 /,4
У,,"0,8","0,8",1,"1,3",1,1,,,
Ferrari	       Dino 246 GT,,195,225,235,"7,1",85,35,класс C             купе               Италия                      70                              2,27 000 /,4
Г,,"1,1","0,9","1,1","1,3","0,8",1,,,
Renault                         IKA Torino Coupe 380 W,,176,330,192,"7,5",80,41,класс  B            купе               Франция                      70                               5                         автоспорт,28 000 /,1
У,,"0,9","0,9",1,"1,3","0,8",1,,,
Lamborghini	Miura P 400 Jota,,440,484,296,4,95,20,класс  D            купе               Италия                      60                               5                                      коллекция,47 000 /,1
Г,,"0,8","1,1","1,2","0,6","0,8","0,7",,,
,1972,,,,,,,,,
,АЛЬФА,,,,,,,,,
Renault               	5,,41,77,134,"23,3",40,43,класс   A           хэтчбек               Франция                       70                             1,5200 /,5
У,,"0,6","0,9","0,9","2,6",1,"0,8",,,
Ford              Mustang            Mach 1,,157,353,184,"10,9",50,38,класс  B           купе              США                      70                              2                               muscle car,13 100 /,3
У,,1,"1,2",1,"1,9",1,"0,8",,,
Renault	           IKA Torino Coupe TS,,160,304,175,"8,3",66,41,класс B             купе              Франция                       70                             2,11 800 /,3
Г,,"0,9","0,9",1,"1,5","0,8","0,8",,,
Porsche                  911 2.3,,184,209,230,7,90,31,класс  B            купе               Германия                      70                               2,21 200 /,3
Г,,"0,8","1,1","1,1","1,3","0,8","0,8",,,
Ford 	         Bronco Wagon Stroppe Baja Edition,,127,298,145,13,32,187,класс  C            внедорожник               США                     70                              3,22 000 /,2
